                        id                         | mediaobject_id |       mid        |                                      programurl                                      
 42202233                                          |       16873339 | POMS_VPRO_056104 | http://download.omroep.nl/vpro/42202233.mp3
 42196300                                          |       16873900 | POMS_VPRO_056154 | http://download.omroep.nl/vpro/42196300.mp3
 39589933                                          |       16876128 | POMS_VPRO_056450 | http://download.omroep.nl/vpro/39589933.mp3
 42205287                                          |       16873202 | POMS_VPRO_056087 | http://download.omroep.nl/vpro/42205287.mp3
 39588493                                          |        7114216 | POMS_VPRO_212061 | http://download.omroep.nl/vpro/39588493.mp3
 39588493                                          |       16876069 | POMS_VPRO_056441 | http://download.omroep.nl/vpro/39588493.mp3
 het_marathoninterview_2008_25_december_2007_uur_3 |        8964093 | POMS_VPRO_057780 | http://download.omroep.nl/vpro/het_marathoninterview_2008_25_december_2007_uur_3.mp3
 het_marathoninterview_2008_25_december_2007_uur_3 |       16872444 | POMS_VPRO_056033 | http://download.omroep.nl/vpro/het_marathoninterview_2008_25_december_2007_uur_3.mp3
 41137397                                          |        7033927 | POMS_VPRO_214557 | http://download.omroep.nl/vpro/41137397.mp3
 41137397                                          |       16874988 | POMS_VPRO_056308 | http://download.omroep.nl/vpro/41137397.mp3
 42172313                                          |       16874301 | POMS_VPRO_056211 | http://download.omroep.nl/vpro/42172313.mp3
 40867620                                          |       16875405 | POMS_VPRO_056365 | http://download.omroep.nl/vpro/40867620.mp3
 42170829                                          |       16874717 | POMS_VPRO_056270 | http://download.omroep.nl/vpro/42170829.mp3
 41926807                                          |       16875738 | POMS_VPRO_056404 | http://download.omroep.nl/vpro/41926807.mp3
 36346136                                          |       19763998 | POMS_VPRO_106203 | http://download.omroep.nl/vpro/36346136.mp3
 40887482                                          |       16875248 | POMS_VPRO_056345 | http://download.omroep.nl/vpro/40887482.mp3
 41137792                                          |        7033962 | POMS_VPRO_214561 | http://download.omroep.nl/vpro/41137792.mp3
 41137792                                          |       16874960 | POMS_VPRO_056304 | http://download.omroep.nl/vpro/41137792.mp3
 35388132                                          |        7090940 | POMS_VPRO_104741 | http://download.omroep.nl/vpro/35388132.mp3
 35388132                                          |       19394917 | POMS_VPRO_104754 | http://download.omroep.nl/vpro/35388132.mp3
 35361099                                          |       16946717 | POMS_VPRO_057327 | http://download.omroep.nl/vpro/35361099.mp3
 42173669                                          |        7085912 | POMS_VPRO_213648 | http://download.omroep.nl/vpro/42173669.mp3
 42173669                                          |       16874464 | POMS_VPRO_056234 | http://download.omroep.nl/vpro/42173669.mp3
 38988455                                          |        7115453 | POMS_VPRO_212205 | http://download.omroep.nl/vpro/38988455.mp3
 38988455                                          |       16876205 | POMS_VPRO_056458 | http://download.omroep.nl/vpro/38988455.mp3
 35387324                                          |       19349019 | POMS_VPRO_104689 | http://download.omroep.nl/vpro/35387324.mp3
 42198811                                          |       16873816 | POMS_VPRO_056142 | http://download.omroep.nl/vpro/42198811.mp3
 42193737                                          |       16874098 | POMS_VPRO_056182 | http://download.omroep.nl/vpro/42193737.mp3
 36352230                                          |       19874487 | POMS_VPRO_107513 | http://download.omroep.nl/vpro/36352230.mp3
 41899300                                          |       16874738 | POMS_VPRO_056273 | http://download.omroep.nl/vpro/41899300.mp3
 41128015                                          |        7109857 | POMS_VPRO_071503 | http://download.omroep.nl/vpro/41128015.mp3
 41128015                                          |       16875170 | POMS_VPRO_056334 | http://download.omroep.nl/vpro/41128015.mp3
 35387081                                          |       16946699 | POMS_VPRO_057326 | http://download.omroep.nl/vpro/35387081.mp3
 35387081                                          |       16946726 | POMS_VPRO_057330 | http://download.omroep.nl/vpro/35387081.mp3
 42205256                                          |       16873209 | POMS_VPRO_056088 | http://download.omroep.nl/vpro/42205256.mp3
 40875496                                          |       16875311 | POMS_VPRO_056354 | http://download.omroep.nl/vpro/40875496.mp3
 40875236                                          |       16875339 | POMS_VPRO_056358 | http://download.omroep.nl/vpro/40875236.mp3
 41135717                                          |       16875065 | POMS_VPRO_056319 | http://download.omroep.nl/vpro/41135717.mp3
 39771225                                          |       16872320 | POMS_VPRO_056023 | http://download.omroep.nl/vpro/39771225.mp3
 39588507                                          |        7114230 | POMS_VPRO_212064 | http://download.omroep.nl/vpro/39588507.mp3
 39588507                                          |       16876045 | POMS_VPRO_056439 | http://download.omroep.nl/vpro/39588507.mp3
 42213926                                          |       16872781 | POMS_VPRO_056061 | http://download.omroep.nl/vpro/42213926.mp3
 42170933                                          |       16874682 | POMS_VPRO_056265 | http://download.omroep.nl/vpro/42170933.mp3
 42215718                                          |       16872816 | POMS_VPRO_056066 | http://download.omroep.nl/vpro/42215718.mp3
